,Date,GSPC500,FTSE100
0,1/3/2000,0.003264,0.0
1,1/4/2000,-0.00954911,0.0
2,1/5/2000,-0.038344668,-0.038137469
3,1/6/2000,0.001922183,-0.019502243
4,1/7/2000,0.000955678,-0.013571154
5,1/10/2000,0.027090399,0.00893405
6,1/11/2000,0.011189969,0.015819148
7,1/12/2000,-0.013062512,-0.013438911
8,1/13/2000,-0.004386371,0.002132247
9,1/14/2000,0.012169701,-0.000198966
10,1/17/2000,0.0,0.01939833
11,1/18/2000,0.0106713,0.001697126
12,1/19/2000,-0.006832072,-0.024724477
13,1/20/2000,0.000522293,-0.009101281
14,1/21/2000,-0.007095321,-0.015002903
15,1/24/2000,-0.002912319,-0.000378092
16,1/25/2000,-0.027633594,0.005278666
17,1/26/2000,0.0060648,-0.016567872
18,1/27/2000,-0.004212721,0.016177619
19,1/28/2000,-0.003938428,0.010257843
20,1/31/2000,-0.027456829,-0.010153688
21,2/1/2000,0.025217567,-0.016798434
22,2/2/2000,0.010627819,0.003573407
23,2/3/2000,-0.000113557,0.001891606
24,2/4/2000,0.011248138,0.003411182
25,2/7/2000,-0.000421044,-0.022026123
26,2/8/2000,-9.13e-05,-0.010735635
27,2/9/2000,0.012273199,0.027326464
28,2/10/2000,-0.020822365,0.004709042
29,2/11/2000,0.00363392,-0.00563703
30,2/14/2000,-0.02096932,-0.013774324
31,2/15/2000,0.002032951,-0.020134615
32,2/16/2000,0.008712684,-0.010447204
33,2/17/2000,-0.010256413,0.023679428
34,2/18/2000,0.000425148,0.010069282
35,2/21/2000,0.0,-0.007134428
36,2/22/2000,-0.030376186,-0.013527965
37,2/23/2000,0.004516844,-0.011000378
38,2/24/2000,0.006300907,0.021513941
39,2/25/2000,-0.005335446,-0.00934228
40,2/28/2000,-0.01482904,0.018285738
41,2/29/2000,0.011017327,-0.015876073
42,3/1/2000,0.013627087,0.021804708
43,3/2/2000,0.009345514,0.021227065
44,3/3/2000,0.001863462,0.010557934
45,3/6/2000,0.019837044,0.008613035
46,3/7/2000,-0.012695426,0.012377619
47,3/8/2000,-0.025631098,-0.015423705
48,3/9/2000,0.00817335,-0.008551737
49,3/10/2000,0.025601808,0.018857608
50,3/13/2000,-0.004722867,0.005603113
51,3/14/2000,-0.008207439,-0.015497783
52,3/15/2000,-0.017685471,0.003123629
53,3/16/2000,0.02427988,-0.006181514
54,3/17/2000,0.047638505,0.017093252
55,3/20/2000,0.0041139,0.000121974
56,3/21/2000,-0.005353449,0.010140287
57,3/22/2000,0.025565854,-0.000996316
58,3/23/2000,0.004531867,-0.001254145
59,3/24/2000,0.017799046,-0.002269426
60,3/27/2000,7.2e-05,0.021820869
61,3/28/2000,-0.002356838,-0.007612941
62,3/29/2000,-0.010584965,-0.005547927
63,3/30/2000,0.000523992,-0.007714214
64,3/31/2000,-0.013655752,-0.023276901
65,4/3/2000,0.007164304,0.014739651
66,4/4/2000,0.004938024,-0.011941545
67,4/5/2000,-0.007470219,-0.005431686
68,4/6/2000,-0.004923956,-0.007421845
69,4/7/2000,0.009392398,0.0112552
70,4/10/2000,0.009997742,0.018415433
71,4/11/2000,-0.007841207,-0.00555564
72,4/12/2000,-0.002572348,-0.023601755
73,4/13/2000,-0.022271188,-0.00445203
74,4/14/2000,-0.01817106,0.000976286
75,4/17/2000,-0.058277937,-0.02814219
76,4/18/2000,0.033083594,-0.029701688
77,4/19/2000,0.028663407,0.013245238
78,4/20/2000,-0.009808488,0.018258133
79,4/21/2000,0.0,0.009102862
80,4/24/2000,0.004952867,0.0
81,4/25/2000,-0.003262407,0.0
82,4/26/2000,0.033275955,0.006697398
83,4/27/2000,-0.011134091,-0.00421773
84,4/28/2000,0.002689994,-0.012339198
85,5/1/2000,-0.008526056,0.023967133
86,5/2/2000,0.010892054,0.0
87,5/3/2000,-0.014956554,0.007269969
88,5/4/2000,-0.021565566,-0.029591756
89,5/5/2000,-0.003907872,0.002393011
90,5/8/2000,0.016359641,0.006322941
91,5/9/2000,-0.005905196,-0.003606463
92,5/10/2000,-0.008447046,-0.014880235
93,5/11/2000,-0.020599916,-0.00378845
94,5/12/2000,0.017902468,0.023817297
95,5/15/2000,0.009340679,0.006019965
96,5/16/2000,0.022097755,-0.005697431
97,5/17/2000,0.009419189,0.011316117
98,5/18/2000,-0.012441673,-0.019340293
99,5/19/2000,-0.007314607,0.005922938
100,5/22/2000,-0.02105469,-0.030082306
101,5/23/2000,-0.004428004,-0.001637593
102,5/24/2000,-0.019175842,0.008499678
103,5/25/2000,0.018335248,0.005224468
104,5/26/2000,-0.012529952,0.018386559
105,5/29/2000,0.0,-0.002278923
106,5/30/2000,-0.002533441,0.0
107,5/31/2000,0.032234598,0.022953594
108,6/1/2000,-0.001293528,-4.72e-05
109,6/2/2000,0.019857865,0.017486233
110,6/5/2000,0.019636771,0.02409395
111,6/6/2000,-0.006518829,-0.012027603
112,6/7/2000,-0.006670645,1.52e-05
113,6/8/2000,0.009274008,-0.006568095
114,6/9/2000,-0.006585704,-0.001107
115,6/12/2000,-0.003229246,-0.008127373
116,6/13/2000,-0.007515667,-0.002001909
117,6/14/2000,0.016210195,0.002519118
118,6/15/2000,0.000748651,0.013835632
119,6/16/2000,0.005569343,-0.006961125
120,6/19/2000,-0.009650186,0.0
121,6/20/2000,0.01470852,-9.24e-05
122,6/21/2000,-0.006763155,0.005654634
123,6/22/2000,0.002154581,-0.007522729
124,6/23/2000,-0.018220137,-0.009879898
125,6/26/2000,-0.007368283,-0.003476848
126,6/27/2000,0.00959436,0.002143502
127,6/28/2000,-0.003270787,-0.004668143
128,6/29/2000,0.00294364,-0.009693631
129,6/30/2000,-0.008543966,-0.011800111
130,7/3/2000,0.00846509,0.011812822
131,7/4/2000,0.0,0.02498134
132,7/5/2000,0.010270909,-0.008252952
133,7/6/2000,-0.015862146,-0.005376344
134,7/7/2000,0.007218813,0.005812785
135,7/10/2000,0.015260821,0.012134697
136,7/11/2000,-0.002217884,-0.004817207
137,7/12/2000,0.00356461,0.001484583
138,7/13/2000,0.008130327,0.00659381
139,7/14/2000,0.001955846,-0.006565898
140,7/17/2000,0.009452893,-4.64e-05
141,7/18/2000,0.000337759,0.007736989
142,7/19/2000,-0.011089117,-0.011493372
143,7/20/2000,-0.007886265,0.002309883
144,7/21/2000,0.009183774,0.000556825
145,7/24/2000,-0.010283708,-0.014005271
146,7/25/2000,-0.010741799,0.000454644
147,7/26/2000,0.006952128,0.001473115
148,7/27/2000,-0.014954477,-0.000563334
149,7/28/2000,-0.001927851,-0.005479795
150,7/31/2000,-0.02050881,-0.002581808
151,8/1/2000,0.007704781,0.004671877
152,8/2/2000,0.005080981,0.002168051
153,8/3/2000,0.0004172,0.00191245
154,8/4/2000,0.009633772,-0.011609486
155,8/7/2000,0.007139116,0.007345127
156,8/8/2000,0.01120347,0.003818623
157,8/9/2000,0.002352502,-0.004649442
158,8/10/2000,-0.006696826,0.008791919
159,8/11/2000,-0.008568302,-0.004162799
160,8/14/2000,0.007936974,-0.000438339
161,8/15/2000,0.013398259,0.005544663
162,8/16/2000,-0.004780233,0.008660586
163,8/17/2000,-0.003085412,0.008725195
164,8/18/2000,0.010960551,-0.002112646
165,8/21/2000,-0.002907602,0.003912123
166,8/22/2000,0.005202055,-0.000229228
167,8/23/2000,-0.000900296,0.006511511
168,8/24/2000,0.005233168,-0.002824628
169,8/25/2000,0.001553874,-0.001401145
170,8/28/2000,-0.001233239,0.001021839
171,8/29/2000,0.005071536,0.0
172,8/30/2000,-0.002806967,0.00344312
173,8/31/2000,-0.004801833,0.004372758
174,9/1/2000,0.010042718,0.008707366
175,9/4/2000,0.0,0.018328383
176,9/5/2000,0.00203598,0.000456232
177,9/6/2000,-0.00900206,-0.006707771
178,9/7/2000,-0.009840192,-0.008559764
179,9/8/2000,0.00687553,-0.000821545
180,9/11/2000,-0.005331086,-0.013230281
181,9/12/2000,-0.003506183,-0.002833062
182,9/13/2000,-0.004881632,-0.004026132
183,9/14/2000,0.001970353,-0.011791596
184,9/15/2000,-0.00272073,0.011932296
185,9/18/2000,-0.010169655,-0.021081564
186,9/19/2000,-0.014531248,-0.001106323
187,9/20/2000,0.010654142,-0.00104524
188,9/21/2000,-0.005863455,-0.019301959
189,9/22/2000,-0.001577795,-0.012850477
190,9/25/2000,-0.000227789,0.001080737
191,9/26/2000,-0.006688623,0.008250245
192,9/27/2000,-0.008213914,-0.007016014
193,9/28/2000,-0.000448438,0.009029101
194,9/29/2000,0.022235217,-0.000829392
195,10/2/2000,-0.014928457,0.004805175
196,10/3/2000,-0.000201904,-0.001541132
197,10/4/2000,-0.006802545,0.00962686
198,10/5/2000,0.005510134,-0.00159182
199,10/6/2000,0.001366559,0.007435018
200,10/9/2000,-0.0190005,0.001441585
201,10/10/2000,-0.004939681,-0.019777254
202,10/11/2000,-0.010705912,-0.002729474
203,10/12/2000,-0.016171399,-0.020823678
204,10/13/2000,-0.025509448,0.002337486
205,10/16/2000,0.033381472,0.012671472
206,10/17/2000,0.000327435,0.012255233
207,10/18/2000,-0.017932246,-0.013125029
208,10/19/2000,-0.005807511,-0.008866391
209,10/20/2000,0.034743285,0.011499253
210,10/23/2000,0.005882978,0.009229913
211,10/24/2000,-0.000823251,0.006309466
212,10/25/2000,0.001683629,0.019395494
213,10/26/2000,-0.023767447,-0.010965473
214,10/27/2000,-0.000337082,-0.010286127
215,10/30/2000,0.011096139,0.010186789
216,10/31/2000,0.013830353,0.003439865
